drifter_id,unit,role,error_C002_24h,error_T002_24h,error_C0_24h,error_T0_24h,error_C002_48h,error_T002_48h,error_C0_48h,error_T0_48h,error_C002_72h,error_T002_72h,error_C0_72h,error_T0_72h,delta_24h,delta_48h,delta_72h,deltaS_24h,deltaS_48h,deltaS_72h,endpoint_C002_72h,endpoint_T002_72h,endpoint_C0_72h,endpoint_T0_72h,path_C002,path_T002,path_C0,path_T0,sep_T002_C002_24h,sep_T002_C002_48h,sep_T002_C002_72h,sep_T0_C0_24h,sep_T0_C0_48h,sep_T0_C0_72h,observed_72h
81816,KE-1,CALIBRATION,25.44,23.073,26.869,24.26,47.664,37.007,49.588,39.494,63.535,44.652,65.492,49.097,-2.367,-10.657,-18.883,-2.609,-10.095,-16.395,79.647,58.566,81.775,63.823,79.782,59.099,81.895,64.12,7.699,19.878,28.757,7.62,18.48,25.599,16.535
48965,KE-2,CALIBRATION,9.577,9.865,9.525,9.755,7.082,5.273,7.964,5.878,10.262,12.056,10.364,10.852,0.288,-1.809,1.793,0.23,-2.085,0.488,45.219,52.209,43.289,50.181,47.219,54.257,45.241,52.227,1.088,3.157,7.227,1.083,3.096,7.175,49.759
81802,KE-2,CALIBRATION,14.04,13.945,14.798,14.093,33.725,34.31,34.064,35.583,50.99,49.226,50.895,51.02,-0.094,0.585,-1.765,-0.705,1.519,0.126,67.628,76.63,67.307,74.827,68.565,80.157,67.931,77.673,7.696,11.066,9.894,7.714,11.03,9.317,108.571
90141,KE-2,CALIBRATION,4.427,12.078,2.602,10.412,15.402,29.476,12.804,26.345,14.977,39.643,12.155,31.375,7.651,14.074,24.666,7.809,13.541,19.22,82.95,70.983,80.611,73.484,87.533,72.271,84.648,76.355,7.895,16.902,36.285,7.958,15.06,26.986,70.905
90142,KE-2,CALIBRATION,20.568,18.575,21.361,19.257,37.503,31.996,39.373,33.495,51.677,40.552,54.748,42.919,-1.994,-5.507,-11.125,-2.104,-5.878,-11.829,20.751,5.685,24.236,10.91,22.883,10.346,25.955,14.704,2.986,8.54,15.066,2.983,8.2,13.601,37.048
90145,KE-2,CALIBRATION,11.536,17.041,10.162,15.693,8.884,14.916,7.945,13.904,21.727,16.414,23.44,18.194,5.506,6.032,-5.313,5.532,5.959,-5.246,115.598,120.676,115.315,120.18,128.603,134.66,127.514,133.536,5.82,6.104,5.717,5.878,6.131,5.655,131.458
48985,KE-H1,HOLDOUT,10.273,7.63,11.265,8.629,11.849,8.517,12.874,9.476,22.839,19.343,24.119,20.706,-2.644,-3.332,-3.496,-2.636,-3.398,-3.413,15.274,19.017,15.551,18.695,17.581,24.536,17.041,23.433,2.647,3.363,4.416,2.653,3.412,4.149,31.456
81806,KE-H1,HOLDOUT,2.992,5.975,2.846,5.049,4.796,7.566,5.116,5.837,7.037,5.529,8.567,4.05,2.983,2.77,-1.509,2.203,0.721,-4.517,44.501,51.833,41.697,49.399,44.533,51.982,41.717,49.515,4.879,7.045,7.549,4.883,7.127,7.873,48.477
90135,KE-H1,HOLDOUT,31.961,33.569,31.976,33.558,56.083,59.283,55.676,58.897,57.508,58.57,56.91,57.858,1.608,3.2,1.062,1.582,3.221,0.947,126.318,122.244,127.286,122.917,130.913,128.254,131.857,128.875,2.575,4.173,5.64,2.59,4.249,5.959,104.782
90149,KE-H1,HOLDOUT,15.025,12.722,15.906,13.519,26.378,21.517,28.409,22.769,30.524,26.355,33.526,26.893,-2.303,-4.861,-4.168,-2.387,-5.64,-6.633,35.413,38.362,36.612,35.922,35.457,39.71,36.801,37.101,2.804,9.908,20.051,2.814,9.991,20.773,62.188
90150,KE-H1,HOLDOUT,34.495,37.918,33.621,37.175,58.905,61.804,57.741,61.439,69.208,64.032,69.014,64.961,3.423,2.898,-5.176,3.554,3.698,-4.053,49.739,65.113,47.772,61.413,52.782,69.466,50.752,65.353,4.13,9.222,16.793,4.288,9.611,16.243,112.667
89898,KE-H3,HOLDOUT,6.807,1.764,7.574,2.579,26.06,17.904,27.157,19.07,52.084,34.389,55.735,38.353,-5.043,-8.155,-17.695,-4.995,-8.088,-17.382,104.573,112.497,103.568,110.801,110.415,120.412,108.715,117.842,5.321,8.324,18.311,5.311,8.212,17.825,140.071
90146,KE-H3,HOLDOUT,6.766,12.534,7.262,10.606,19.158,22.032,21.313,20.693,31.665,10.81,39.761,15.12,5.768,2.874,-20.855,3.344,-0.62,-24.642,54.39,71.561,50.659,66.238,54.753,72.025,50.894,66.605,10.078,16.079,25.807,10.183,17.01,27.675,81.357
92981,KE-H3,HOLDOUT,14.439,8.827,15.155,9.549,31.834,22.746,33.224,23.805,36.862,27.923,40.007,28.7,-5.612,-9.088,-8.939,-5.606,-9.42,-11.307,120.046,127.336,118.346,125.946,130.288,141.253,127.76,138.852,5.614,10.784,18.697,5.613,10.797,18.886,154.559
98996,KE-H3,HOLDOUT,19.701,29.53,18.278,27.95,46.89,62.962,44.751,60.694,83.052,97.454,80.329,94.99,9.829,16.072,14.402,9.672,15.943,14.662,31.315,46.77,29.513,44.186,31.683,50.507,29.958,47.251,10.264,16.168,17.485,10.25,16.128,17.494,79.433
98997,KE-H3,HOLDOUT,17.993,11.802,19.105,12.784,36.955,25.269,39.273,27.78,51.988,44.746,53.702,46.235,-6.191,-11.687,-7.242,-6.321,-11.492,-7.467,63.693,56.756,65.346,58.126,70.483,59.614,73.109,61.218,6.962,11.707,9.568,7.01,11.512,8.662,12.151
98998,KE-H3,HOLDOUT,8.506,2.164,10.112,3.764,9.4,12.355,10.751,8.808,14.309,18.179,14.673,16.171,-6.342,2.955,3.87,-6.348,-1.943,1.498,40.461,56.236,37.875,53.76,42.135,64.618,38.525,60.811,6.342,15.44,16.754,6.369,15.688,17.542,51.185
99006,KE-H3,HOLDOUT,5.228,3.181,5.542,2.27,11.096,20.494,10.427,19.91,24.151,29.904,25.234,30.432,-2.047,9.398,5.754,-3.272,9.483,5.197,18.674,12.575,20.473,14.327,19.74,22.578,21.563,20.055,7.297,10.676,10.306,7.264,10.738,10.369,26.356
