windowId,role,G6_spatial,G7_temporal,missingFractionBox,G10_releaseStencil,timeAxisDepth,status
KE-1,CALIBRATION,PASS,PASS,0.0025252525252525255,PASS,PASS depth [15.810070037841797],WINDOW_PASS
KE-2,CALIBRATION,PASS,PASS,0.09247311827956989,PASS,PASS depth [15.810070037841797],WINDOW_PASS
AG-1,CALIBRATION,PASS,PASS,0.17628920786815525,PASS,PASS depth [15.810070037841797],WINDOW_PASS
AG-2,CALIBRATION,PASS,PASS,0.0,PASS,PASS depth [15.810070037841797],WINDOW_PASS
KE-H1,HOLDOUT,PASS,PASS,0.06754994686029168,PASS,PASS depth [15.810070037841797],WINDOW_PASS
KE-H2,HOLDOUT,PASS,PASS,0.0,PASS,PASS depth [15.810070037841797],WINDOW_PASS
KE-H3,HOLDOUT,PASS,PASS,0.007702020202020202,PASS,PASS depth [15.810070037841797],WINDOW_PASS
