windowId,role,timestamp,nCommonValid,medianSpeedHYCOM,medianSpeedGLORYS,medianSpeedAVISO,A_medianVecDiff,B_medianVecDiff,C_medianVecDiff,A_medianAbsDirDiff,B_medianAbsDirDiff,C_medianAbsDirDiff,A_pearsonU,A_pearsonV,B_pearsonU,B_pearsonV,C_pearsonU,C_pearsonV,step25cTrajSep72hKm,A_impliedDisplacement72hKm
KE-1,CALIBRATION,2010-05-12T12:00:00Z,3097,0.317244,0.252824,0.113441,0.247723,0.271559,0.205346,34.97298,45.622813,37.560192,0.668183,0.632628,0.647126,0.627996,0.619718,0.684669,62.511,64.209802
KE-2,CALIBRATION,2010-06-30T12:00:00Z,2852,0.310016,0.257668,0.104826,0.257163,0.272042,0.210504,35.334626,42.075847,39.366276,0.66837,0.586544,0.650487,0.648676,0.62574,0.711761,65.895,66.65665
AG-1,CALIBRATION,NOT_AVAILABLE,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE
AG-2,CALIBRATION,NOT_AVAILABLE,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE
KE-H1,HOLDOUT,2010-08-11T12:00:00Z,3351,0.29986,0.282383,0.130179,0.24469,0.247832,0.222723,32.257246,37.092815,35.056726,0.735829,0.653413,0.760561,0.71241,0.668007,0.717635,47.788,63.423648
KE-H2,HOLDOUT,2010-08-18T12:00:00Z,208,NOT_AVAILABLE,0.485887,0.290131,NOT_AVAILABLE,NOT_AVAILABLE,0.482386,NOT_AVAILABLE,NOT_AVAILABLE,44.525578,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0.849406,0.559336,NOT_AVAILABLE,NOT_AVAILABLE
KE-H3,HOLDOUT,2010-11-17T12:00:00Z,2321,0.308375,0.241378,0.150059,0.259881,0.241846,0.187597,39.888521,32.319314,35.399086,0.685466,0.653525,0.797268,0.72754,0.662874,0.693261,46.699,67.361155
