drifter_id,unit,role,error_CAND_24h,error_HYCOM_24h,delta_24h,sep_CAND_HYCOM_24h,error_CAND_48h,error_HYCOM_48h,delta_48h,sep_CAND_HYCOM_48h,error_CAND_72h,error_HYCOM_72h,delta_72h,sep_CAND_HYCOM_72h,endpoint_CAND_72h,endpoint_HYCOM_72h,path_CAND,path_HYCOM,observed_72h,threeway_A_HYCOM_24h,threeway_B_GLORYS_24h,threeway_C_STOKES_24h,threeway_A_HYCOM_48h,threeway_B_GLORYS_48h,threeway_C_STOKES_48h,threeway_A_HYCOM_72h,threeway_B_GLORYS_72h,threeway_C_STOKES_72h
81802,KE-2,CALIBRATION,13.945,1.487,12.458,15.091,34.31,7.466,26.844,26.998,49.226,26.706,22.519,26.453,76.63,98.344,80.157,100.092,108.571,1.487,14.04,13.945,7.466,33.725,34.31,26.706,50.99,49.226
90141,KE-2,CALIBRATION,12.078,28.443,-16.365,34.325,29.476,77.943,-48.468,83.518,39.643,158.931,-119.287,141.397,70.983,93.295,72.271,100.217,70.905,28.443,4.427,12.078,77.943,15.402,29.476,158.931,14.977,39.643
90142,KE-2,CALIBRATION,18.575,14.072,4.502,16.903,31.996,30.812,1.185,32.633,40.552,44.239,-3.687,50.924,5.685,45.298,10.346,49.12,37.048,14.072,20.568,18.575,30.812,37.503,31.996,44.239,51.677,40.552
90145,KE-2,CALIBRATION,17.041,27.992,-10.951,36.101,14.916,69.708,-54.792,75.004,16.414,104.183,-87.769,89.667,120.676,139.966,134.66,150.073,131.458,27.992,11.536,17.041,69.708,8.884,14.916,104.183,21.727,16.414
48985,KE-H1,HOLDOUT,7.63,8.223,-0.593,7.94,8.517,21.544,-13.026,21.512,19.343,48.81,-29.467,52.322,19.017,40.051,24.536,55.705,31.456,8.223,10.273,7.63,21.544,11.849,8.517,48.81,22.839,19.343
81806,KE-H1,HOLDOUT,5.975,1.941,4.034,7.292,7.566,6.096,1.469,13.516,5.529,12.091,-6.563,17.525,51.833,45.351,51.982,47.599,48.477,1.941,2.992,5.975,6.096,4.796,7.566,12.091,7.037,5.529
90135,KE-H1,HOLDOUT,33.569,21.517,12.052,18.828,59.283,27.504,31.779,41.686,58.57,24.444,34.125,35.87,122.244,101.547,128.254,106.154,104.782,21.517,31.961,33.569,27.504,56.083,59.283,24.444,57.508,58.57
90149,KE-H1,HOLDOUT,12.722,4.089,8.633,15.284,21.517,8.88,12.637,29.655,26.355,17.603,8.753,42.85,38.362,79.693,39.71,83.845,62.188,4.089,15.025,12.722,8.88,26.378,21.517,17.603,30.524,26.355
90150,KE-H1,HOLDOUT,37.918,23.705,14.213,46.232,61.804,58.664,3.14,91.64,64.032,89.37,-25.338,122.794,65.113,125.215,69.466,128.243,112.667,23.705,34.495,37.918,58.664,58.905,61.804,89.37,69.208,64.032
89898,KE-H3,HOLDOUT,1.764,13.802,-12.038,15.376,17.904,17.08,0.824,31.382,34.389,10.265,24.124,43.779,112.497,150.297,120.412,173.068,140.071,13.802,6.807,1.764,17.08,26.06,17.904,10.265,52.084,34.389
90146,KE-H3,HOLDOUT,12.534,16.625,-4.091,19.656,22.032,22.74,-0.708,39.81,10.81,29.497,-18.687,39.087,71.561,101.085,72.025,141.661,81.357,16.625,6.766,12.534,22.74,19.158,22.032,29.497,31.665,10.81
92981,KE-H3,HOLDOUT,8.827,13.072,-4.245,20.449,22.746,12.402,10.344,31.941,27.923,33.118,-5.195,25.065,127.336,140.511,141.253,174.169,154.559,13.072,14.439,8.827,12.402,31.834,22.746,33.118,36.862,27.923
98996,KE-H3,HOLDOUT,29.53,12.299,17.231,23.437,62.962,35.126,27.836,42.083,97.454,90.497,6.958,52.116,46.77,12.233,50.507,37.045,79.433,12.299,19.701,29.53,35.126,46.89,62.962,90.497,83.052,97.454
98997,KE-H3,HOLDOUT,11.802,17.752,-5.95,21.482,25.269,33.816,-8.547,39.078,44.746,37.114,7.632,53.829,56.756,42.506,59.614,70.311,12.151,17.752,17.993,11.802,33.816,36.955,25.269,37.114,51.988,44.746
98998,KE-H3,HOLDOUT,2.164,22.802,-20.638,21.366,12.355,43.279,-30.924,36.49,18.179,58.451,-40.272,42.135,56.236,66.716,64.618,82.714,51.185,22.802,8.506,2.164,43.279,9.4,12.355,58.451,14.309,18.179
99006,KE-H3,HOLDOUT,3.181,7.39,-4.209,10.087,20.494,14.086,6.407,26.473,29.904,11.846,18.058,29.885,12.575,31.281,22.578,50.781,26.356,7.39,5.228,3.181,14.086,11.096,20.494,11.846,24.151,29.904
