ID,time,latitude,longitude,drogue_lost_date,typebuoy
,UTC,degrees_north,degrees_east,UTC,
122674,2015-01-05T12:00:00Z,41.71925,-46.17909,2014-05-05T00:00:00Z,SVP
122675,2015-01-05T12:00:00Z,29.28326,-44.18364,2014-08-11T00:00:00Z,SVP
122699,2015-01-05T12:00:00Z,30.25614,-22.06171,2015-03-11T00:00:00Z,SVP
123286,2015-01-05T12:00:00Z,31.39488,-60.79987,2015-01-10T00:00:00Z,SVPB
126479,2015-01-05T12:00:00Z,32.87878,-39.86673,2014-05-19T00:00:00Z,SVPB
126480,2015-01-05T12:00:00Z,48.56586,-38.80906,2015-04-29T00:00:00Z,SVPB
127002,2015-01-05T12:00:00Z,36.15274,-30.10742,2014-12-12T00:00:00Z,SVPB
127110,2015-01-05T12:00:00Z,26.87122,-76.53412,2015-07-15T00:00:00Z,SVP
127226,2015-01-05T12:00:00Z,20.99772,-46.34437,2016-03-31T00:00:00Z,SVP
127229,2015-01-05T12:00:00Z,15.50126,-42.99124,2016-01-04T00:00:00Z,SVP
132676,2015-01-05T12:00:00Z,16.70648,-50.38601,2015-02-28T00:00:00Z,SVPB
132677,2015-01-05T12:00:00Z,16.79153,-42.70328,2016-03-23T00:00:00Z,SVPB
132678,2015-01-05T12:00:00Z,17.08962,-48.30483,2015-11-05T00:00:00Z,SVPB
133211,2015-01-05T12:00:00Z,39.98879,-45.05572,2014-12-23T00:00:00Z,SVP
133222,2015-01-05T12:00:00Z,38.52549,-59.93011,2014-06-29T00:00:00Z,SVP
133240,2015-01-05T12:00:00Z,34.88262,-45.38719,2015-11-05T00:00:00Z,SVP
133335,2015-01-05T12:00:00Z,46.97717,-24.9258,2015-08-05T00:00:00Z,SVPB
134984,2015-01-05T12:00:00Z,22.84403,-30.00491,2014-12-26T00:00:00Z,SVP
134985,2015-01-05T12:00:00Z,25.75526,-23.83672,2015-01-08T00:00:00Z,SVP
134986,2015-01-05T12:00:00Z,16.72717,-44.94719,2014-06-14T00:00:00Z,SVP
134988,2015-01-05T12:00:00Z,23.35592,-26.71816,2014-11-09T00:00:00Z,SVP
135914,2015-01-05T12:00:00Z,41.78845,-55.32326,2015-12-04T00:00:00Z,SVP
139081,2015-01-05T12:00:00Z,36.19913,-52.87262,2015-06-09T00:00:00Z,SVP
139285,2015-01-05T12:00:00Z,34.19604,-30.07026,2015-03-28T00:00:00Z,SVPB
300234011093800,2015-01-05T12:00:00Z,45.08315,-24.70039,2015-09-08T00:00:00Z,SVPB
300234011162640,2015-01-05T12:00:00Z,47.30067,-33.16643,2015-06-22T00:00:00Z,SVPB
300234011790240,2015-01-05T12:00:00Z,48.49647,-33.68885,2015-03-16T00:00:00Z,SVPB
300234011792240,2015-01-05T12:00:00Z,49.06361,-32.58482,2014-10-24T00:00:00Z,SVPB
300234011793230,2015-01-05T12:00:00Z,41.01547,-58.9739,2015-02-06T00:00:00Z,SVPB
300234011794240,2015-01-05T12:00:00Z,46.42742,-51.31362,2015-11-13T00:00:00Z,SVPB
300234011797240,2015-01-05T12:00:00Z,49.25356,-22.59589,2015-05-08T00:00:00Z,SVPB
300234012000230,2015-01-05T12:00:00Z,35.07472,-58.02026,2015-05-10T00:00:00Z,SVPB
300234012007220,2015-01-05T12:00:00Z,31.36429,-31.03775,2015-06-30T00:00:00Z,SVPB
300234060018400,2015-01-05T12:00:00Z,44.06929,-43.90229,2014-09-22T00:00:00Z,SVPB
300234060202320,2015-01-05T12:00:00Z,31.79623,-45.9074,2015-11-18T00:00:00Z,SVPB
300234060202920,2015-01-05T12:00:00Z,43.74035,-54.37867,2015-02-18T00:00:00Z,SVPB
300234060203850,2015-01-05T12:00:00Z,35.29063,-27.80473,2016-01-04T00:00:00Z,SVPB
300234060205090,2015-01-05T12:00:00Z,39.73749,-27.63859,2014-10-01T00:00:00Z,SVPB
300234060207590,2015-01-05T12:00:00Z,35.38006,-38.39886,2015-10-19T00:00:00Z,SVPB
300234060218770,2015-01-05T12:00:00Z,39.14354,-33.957,2014-04-03T00:00:00Z,SVPB
300234060218780,2015-01-05T12:00:00Z,43.26222,-27.96479,2014-11-27T00:00:00Z,SVPB
300234060251440,2015-01-05T12:00:00Z,35.38832,-52.78128,2014-11-28T00:00:00Z,SVPB
300234060359010,2015-01-05T12:00:00Z,38.88963,-33.33176,2014-12-31T00:00:00Z,SVPB
300234060441290,2015-01-05T12:00:00Z,30.92855,-30.57244,2015-01-18T00:00:00Z,SVPB
300234060442280,2015-01-05T12:00:00Z,41.44386,-35.75709,2014-12-17T00:00:00Z,SVPB
300234060448280,2015-01-05T12:00:00Z,41.64191,-39.9704,2014-07-28T00:00:00Z,SVPB
300234060526170,2015-01-05T12:00:00Z,41.23009,-26.07814,2014-12-28T00:00:00Z,SVPB
300234060528170,2015-01-05T12:00:00Z,41.00138,-28.06477,2014-07-24T00:00:00Z,SVPB
300234060556880,2015-01-05T12:00:00Z,44.31064,-52.60743,2014-09-29T00:00:00Z,SVPB
300234060648350,2015-01-05T12:00:00Z,34.98371,-52.86086,2014-08-10T00:00:00Z,SVPB
300234060890150,2015-01-05T12:00:00Z,48.28188,-35.45177,2015-05-08T00:00:00Z,SVPB
300234060896130,2015-01-05T12:00:00Z,48.40147,-29.18348,2015-10-26T00:00:00Z,SVPB
300234061473400,2015-01-05T12:00:00Z,42.39197,-43.79691,2015-02-15T00:00:00Z,SVPB
300234061474410,2015-01-05T12:00:00Z,38.58382,-57.22309,2015-10-23T00:00:00Z,SVPB
300234061475420,2015-01-05T12:00:00Z,37.87535,-46.43169,2015-02-26T00:00:00Z,SVPB
300234061475430,2015-01-05T12:00:00Z,35.32206,-44.89598,2015-06-01T00:00:00Z,SVPB
300234061476400,2015-01-05T12:00:00Z,32.37642,-62.16041,2015-04-03T00:00:00Z,SVPB
300234061477400,2015-01-05T12:00:00Z,38.04312,-71.98475,2015-07-25T00:00:00Z,SVPB
300234061512840,2015-01-05T12:00:00Z,21.552046,-50.648716,2015-07-17T00:00:00Z,SVPB
300234061516840,2015-01-05T12:00:00Z,43.48874,-55.48814,2015-07-06T00:00:00Z,SVPB
300234061610040,2015-01-05T12:00:00Z,23.35033,-48.82378,2015-10-27T00:00:00Z,SVPB
300234061611040,2015-01-05T12:00:00Z,20.8036,-48.54563,2016-01-01T00:00:00Z,SVPB
300234061614060,2015-01-05T12:00:00Z,16.54424,-51.62356,2015-10-30T00:00:00Z,SVPB
300234061615070,2015-01-05T12:00:00Z,17.43796,-63.43948,2015-05-01T00:00:00Z,SVPB
300234061618040,2015-01-05T12:00:00Z,15.71298,-55.18828,2015-03-09T00:00:00Z,SVPB
300234061661340,2015-01-05T12:00:00Z,48.61028,-23.48645,2016-05-13T00:00:00Z,SVPB
71187,2015-01-05T12:00:00Z,19.68689,-41.22233,2015-03-13T00:00:00Z,SVP
